2024-06-05 15:52:05,2024-06-05 15:52:15,18.2775
2024-06-05 15:52:10,2024-06-05 15:52:20,15.769999999999998
2024-06-05 15:52:15,2024-06-05 15:52:25,13.934000000000001
2024-06-05 15:52:20,2024-06-05 15:52:30,15.348000000000003
2024-06-05 15:52:25,2024-06-05 15:52:35,16.032
2024-06-05 15:52:30,2024-06-05 15:52:40,15.406
2024-06-05 15:52:35,2024-06-05 15:52:45,15.021
2024-06-05 15:52:40,2024-06-05 15:52:50,13.86
2024-06-05 15:52:45,2024-06-05 15:52:55,16.299
2024-06-05 15:52:50,2024-06-05 15:53,17.216
2024-06-05 15:52:55,2024-06-05 15:53:05,14.669999999999998
2024-06-05 15:53,2024-06-05 15:53:10,15.216
2024-06-05 15:53:05,2024-06-05 15:53:15,15.943999999999999
